alpha,threshold,run_path,round,recall,spec,tpr,fpr,precision,ppv,npv,f1,balanced_accuracy,youden,alerts_per_1000,auc,tp,fp,tn,fn,prevalence
0.1,0.35,/Users/ginasixt/federated-learning/result/alpha01/thr_0.35/run_1.json,5,0.7305135096901967,0.7581239837863833,0.7305135096901967,0.24187601621361668,0.32837339437873586,0.32837339437873586,0.9455869751499572,0.4530818161877605,0.74431874673829,0.48863749347658003,309.957426679281,0.8246861836200935,51640.0,105620.0,331050.0,19050.0,0.13932907600126143
0.1,0.35,/Users/ginasixt/federated-learning/result/alpha01/thr_0.35/run_10.json,8,0.7013721884283491,0.7823070052900359,0.7013721884283491,0.21769299470996403,0.3427820796460177,0.3427820796460177,0.9418008381120423,0.46050248455858445,0.7418395968591925,0.4836791937183851,285.0835698517818,0.8260468410886371,49580.0,95060.0,341610.0,21110.0,0.13932907600126143
0.1,0.35,/Users/ginasixt/federated-learning/result/alpha01/thr_0.35/run_2.json,6,0.6937332013014571,0.7841161517851009,0.6937332013014571,0.21588384821489912,0.34219524108575816,0.34219524108575816,0.9405301469578354,0.45831775700934585,0.738924676543279,0.47784935308655796,282.46215704824976,0.8250846988909359,49040.0,94270.0,342400.0,21650.0,0.13932907600126143
0.1,0.35,/Users/ginasixt/federated-learning/result/alpha01/thr_0.35/run_3.json,12,0.6930258876785967,0.7880550530148624,0.6930258876785967,0.21194494698513752,0.3461212378126325,0.3461212378126325,0.9406812093379258,0.46166894407011266,0.7405404703467295,0.4810809406934591,278.97350993377484,0.8256528417918267,48990.0,92550.0,344120.0,21700.0,0.13932907600126143
0.1,0.35,/Users/ginasixt/federated-learning/result/alpha01/thr_0.35/run_4.json,16,0.7307964351393408,0.7597499255730873,0.7307964351393408,0.24025007442691276,0.3299482659513317,0.3299482659513317,0.9457510191282533,0.4546334594737305,0.745273180356214,0.4905463607124281,308.5974456007569,0.8263769153800059,51660.0,104910.0,331760.0,19030.0,0.13932907600126143
0.1,0.35,/Users/ginasixt/federated-learning/result/alpha01/thr_0.35/run_5.json,3,0.6674211345310511,0.7997572537614217,0.6674211345310511,0.20024274623857832,0.35046798395483586,0.35046798395483586,0.9369265439716693,0.4595976815547222,0.7335891941462365,0.46717838829247293,265.3342794071271,0.8232695899495255,47180.0,87440.0,349230.0,23510.0,0.13932907600126143
0.1,0.35,/Users/ginasixt/federated-learning/result/alpha01/thr_0.35/run_6.json,8,0.7193379544490027,0.7673758215586141,0.7193379544490027,0.23262417844138594,0.333595748868333,0.333595748868333,0.9441016538472374,0.45580853352456074,0.7433568880038084,0.4867137760076168,300.4375591296121,0.8254914556524078,50850.0,101580.0,335090.0,19840.0,0.13932907600126143
0.1,0.35,/Users/ginasixt/federated-learning/result/alpha01/thr_0.35/run_7.json,11,0.7114160418729665,0.7737650857627041,0.7114160418729665,0.2262349142372959,0.33733565870673465,0.33733565870673465,0.943061292843586,0.45766028120307595,0.7425905638178353,0.48518112763567056,293.83475244402393,0.825300393343606,50290.0,98790.0,337880.0,20400.0,0.13932907600126143
0.1,0.35,/Users/ginasixt/federated-learning/result/alpha01/thr_0.35/run_8.json,2,0.7455085584948367,0.744017221242586,0.7455085584948367,0.25598277875741404,0.3204036964980545,0.3204036964980545,0.9475326644890341,0.4481864183356721,0.7447628898687113,0.4895257797374226,324.18795332702615,0.8214347746451044,52700.0,111780.0,324890.0,17990.0,0.13932907600126143
0.1,0.35,/Users/ginasixt/federated-learning/result/alpha01/thr_0.35/run_9.json,9,0.7306549724147687,0.7577346737811161,0.7306549724147687,0.24226532621888383,0.3280614837398374,0.3280614837398374,0.9455875628715135,0.45281199316179377,0.7441948230979425,0.488389646195885,310.31220435193944,0.8254658775512821,51650.0,105790.0,330880.0,19040.0,0.13932907600126143
0.1,0.42,/Users/ginasixt/federated-learning/result/alpha01/thr_0.42/run_1.json,11,0.6399773659640685,0.8192227540247784,0.6399773659640685,0.18077724597522157,0.36430987276534066,0.36430987276534066,0.9335821285035754,0.4643095396931287,0.7296000599944235,0.4592001199888469,244.75717439293598,0.8257069508709293,45240.0,78940.0,357730.0,25450.0,0.13932907600126143
0.1,0.42,/Users/ginasixt/federated-learning/result/alpha01/thr_0.42/run_10.json,6,0.7797425378412788,0.7161930061602584,0.7797425378412788,0.2838069938397417,0.30784697012007817,0.30784697012007817,0.952575309920502,0.4414190758388724,0.7479677720007686,0.49593554400153717,352.90523494165876,0.8241709122788792,55120.0,123930.0,312740.0,15570.0,0.13932907600126143
0.1,0.42,/Users/ginasixt/federated-learning/result/alpha01/thr_0.42/run_2.json,20,0.795020512095063,0.7017427347882841,0.795020512095063,0.2982572652117159,0.301437459772581,0.301437459772581,0.954848560388882,0.43713296775949917,0.7483816234416736,0.49676324688334716,367.4708293913592,0.8252013561541287,56200.0,130240.0,306430.0,14490.0,0.13932907600126143
0.1,0.42,/Users/ginasixt/federated-learning/result/alpha01/thr_0.42/run_3.json,1,0.7824303296081483,0.7070785719192983,0.7824303296081483,0.29292142808070165,0.3018775242877415,0.3018775242877415,0.9525513666934041,0.43566618093025083,0.7447544507637234,0.48950890152744675,361.1242510249133,0.8184047034705354,55310.0,127910.0,308760.0,15380.0,0.13932907600126143
