alpha,split,threshold,run_path,round,recall,spec,tpr,fpr,precision,ppv,npv,f1,balanced_accuracy,youden,alerts_per_1000,auc,tp,fp,tn,fn,prevalence
0.3,dirichlet,0.3,/Users/ginasixt/federated-learning/result/alpha03/thr_0.3/run_1.json,3,0.7863912858961664,0.7044221036480638,0.7863912858961664,0.29557789635193626,0.30103974872739087,0.30103974872739087,0.9532073132940811,0.4354023888780106,0.7454066947721151,0.49081338954423015,363.962472406181,0.821295121225767,55590.0,129070.0,307600.0,15100.0,0.13932907600126143
0.3,dirichlet,0.3,/Users/ginasixt/federated-learning/result/alpha03/thr_0.3/run_2.json,7,0.7924741830527656,0.7039640918771612,0.7924741830527656,0.29603590812283875,0.3023368773274327,0.3023368773274327,0.9544508957680008,0.4376904445659817,0.7482191374649634,0.49643827492992676,365.2041942604857,0.8238759582704951,56020.0,129270.0,307400.0,14670.0,0.13932907600126143
0.3,dirichlet,0.3,/Users/ginasixt/federated-learning/result/alpha03/thr_0.3/run_3.json,13,0.7701230725703777,0.7149563743788215,0.7701230725703777,0.28504362562117846,0.304287071712034,0.304287071712034,0.9505251940934694,0.4362179487179488,0.7425397234745996,0.48507944694919924,352.62929675181334,0.820175906388951,54440.0,124470.0,312200.0,16250.0,0.13932907600126143
0.3,dirichlet,0.3,/Users/ginasixt/federated-learning/result/alpha03/thr_0.3/run_4.json,7,0.7522987692742962,0.7377195593926764,0.7522987692742962,0.2622804406073236,0.31709498539144954,0.31709498539144954,0.9484469306639187,0.44614093959731543,0.7450091643334863,0.4900183286669726,330.55424156417536,0.8223209163042191,53180.0,114530.0,322140.0,17510.0,0.13932907600126143
0.3,dirichlet,0.3,/Users/ginasixt/federated-learning/result/alpha03/thr_0.3/run_5.json,6,0.7892205403876079,0.7045137060022443,0.7892205403876079,0.2954862939977557,0.30186127042527866,0.30186127042527866,0.9538041793265951,0.43669523697702634,0.7468671231949261,0.4937342463898522,364.277830337433,0.8212420228955152,55790.0,129030.0,307640.0,14900.0,0.13932907600126143
0.3,dirichlet,0.323,/Users/ginasixt/federated-learning/result/alpha03/thr_0.323/run_1.json,2,0.7589475173291838,0.7271623880733735,0.7589475173291838,0.27283761192662653,0.31049250535331907,0.31049250535331907,0.9490689541799923,0.44069328076228037,0.7430549527012786,0.4861099054025573,340.56685588142545,0.8194724365273454,53650.0,119140.0,317530.0,17040.0,0.13932907600126143
0.3,dirichlet,0.323,/Users/ginasixt/federated-learning/result/alpha03/thr_0.323/run_2.json,13,0.7527231574480124,0.7326814299127488,0.7527231574480124,0.26731857008725124,0.31311050959162057,0.31311050959162057,0.9481951277339814,0.44225574533516193,0.7427022936803807,0.4854045873607613,334.94954273099967,0.8221751319803939,53210.0,116730.0,319940.0,17480.0,0.13932907600126143
0.3,dirichlet,0.323,/Users/ginasixt/federated-learning/result/alpha03/thr_0.323/run_3.json,12,0.7883717640401754,0.7056587354295005,0.7883717640401754,0.2943412645704995,0.30245305546510365,0.30245305546510365,0.9536985453419994,0.437183761521867,0.7470152497348379,0.4940304994696758,363.1740775780511,0.8229386539299699,55730.0,128530.0,308140.0,14960.0,0.13932907600126143
0.3,dirichlet,0.323,/Users/ginasixt/federated-learning/result/alpha03/thr_0.323/run_4.json,7,0.7674352808035083,0.7236356974374241,0.7674352808035083,0.2763643025625759,0.31012404961984796,0.31012404961984796,0.9505459796047289,0.4417392720462504,0.7455354891204662,0.4910709782409324,344.78476821192055,0.822490914866137,54250.0,120680.0,315990.0,16440.0,0.13932907600126143
0.3,dirichlet,0.323,/Users/ginasixt/federated-learning/result/alpha03/thr_0.323/run_5.json,9,0.768708445324657,0.7262005633544781,0.768708445324657,0.2737994366455218,0.3124784358826912,0.3124784358826912,0.9509686319198705,0.44433541845537433,0.7474545043395675,0.494909008679135,342.75465152948595,0.822884225752272,54340.0,119560.0,317110.0,16350.0,0.13932907600126143
0.3,dirichlet,0.35,/Users/ginasixt/federated-learning/result/alpha03/thr_0.35/run_1.json,6,0.7624840854434857,0.7298646575216983,0.7624840854434857,0.2701353424783017,0.3136273711160247,0.3136273711160247,0.9499552906110283,0.4444444444444445,0.7461743714825919,0.4923487429651838,338.7338379060233,0.8223959757449173,53900.0,117960.0,318710.0,16790.0,0.13932907600126143
