run_id,source_path,threshold,best_round,recall,spec,f1,ppv,npv,fpr,youden,alerts_per_1000,auc,prevalence,tp,fp,tn,fn
run_10,/Users/ginasixt/federated-learning/logs/thr_0.5/run_10.log,0.5,12,0.7934644221247701,0.7005061030068473,0.4355489982916602,0.30015518809867825,0.9544447564666604,0.2994938969931527,0.4939705251316173,368.31835383159887,0.8248673425339056,0.13932907600126143,56090.0,130780.0,305890.0,14600.0
run_8,/Users/ginasixt/federated-learning/logs/thr_0.5/run_8.log,0.5,16,0.765030414485783,0.7302768681155105,0.44592867450010304,0.3146747352496218,0.9504918032786885,0.26972313188448943,0.4953072826012934,338.7338379060233,0.8254423922186099,0.13932907600126143,54080.0,117780.0,318890.0,16610.0
run_9,/Users/ginasixt/federated-learning/logs/thr_0.5/run_9.log,0.5,3,0.7418305276559627,0.7467881924565462,0.44878048780487806,0.32169805533402857,0.9470015972121388,0.25321180754345385,0.48861872011250895,321.2906023336487,0.822390573745851,0.13932907600126143,52440.0,110570.0,326100.0,18250.0
run_2,/Users/ginasixt/federated-learning/logs/thr_0.5/run_2.log,0.5,2,0.7872400622435988,0.7061396477889481,0.4370533260032985,0.3024949720063054,0.9534926868486966,0.29386035221105183,0.493379710032547,362.6024913276569,0.8211216757511014,0.13932907600126143,55650.0,128320.0,308350.0,15040.0
run_3,/Users/ginasixt/federated-learning/logs/thr_0.5/run_3.log,0.5,20,0.742396378554251,0.7501545789726796,0.4518878890945882,0.3247926723604406,0.9473364567065764,0.2498454210273204,0.4925509575269307,318.4720908230842,0.8260708285561548,0.13932907600126143,52480.0,109100.0,327570.0,18210.0
run_1,/Users/ginasixt/federated-learning/logs/thr_0.5/run_1.log,0.5,8,0.7863912858961664,0.7090022213570889,0.4388395500296033,0.3043359246687835,0.9534955343393902,0.2909977786429111,0.49539350725325537,360.0204982655314,0.824075391653112,0.13932907600126143,55590.0,127070.0,309600.0,15100.0
run_4,/Users/ginasixt/federated-learning/logs/thr_0.5/run_4.log,0.5,20,0.7900693167350403,0.7066892619140313,0.4386929542062682,0.3036481270048388,0.9541168104381165,0.2933107380859688,0.4967585786490716,362.5236518448439,0.8250135674405633,0.13932907600126143,55850.0,128080.0,308590.0,14840.0
run_5,/Users/ginasixt/federated-learning/logs/thr_0.5/run_5.log,0.5,19,0.7846937332013014,0.7147044679048251,0.44245034697296,0.30808108858650374,0.9534997403073538,0.28529553209517483,0.49939820110612665,354.8762220119836,0.8256063457249012,0.13932907600126143,55470.0,124580.0,312090.0,15220.0
run_7,/Users/ginasixt/federated-learning/logs/thr_0.5/run_7.log,0.5,20,0.7579572782571792,0.736368424668514,0.4476377459375914,0.31760521636040306,0.9494773519163763,0.263631575331486,0.4943257029256931,332.50551876379694,0.825216779792842,0.13932907600126143,53580.0,115120.0,321550.0,17110.0
run_6,/Users/ginasixt/federated-learning/logs/thr_0.5/run_6.log,0.5,9,0.7986985429339369,0.700803810657934,0.43801396431342127,0.3017476350809684,0.9555659640905543,0.2991961893420661,0.499502353591871,368.7913907284768,0.8248701350515641,0.13932907600126143,56460.0,130650.0,306020.0,14230.0
