run_id,source_path,threshold,best_round,recall,spec,f1,ppv,npv,fpr,youden,alerts_per_1000,auc,prevalence,tp,fp,tn,fn
run_10,/Users/ginasixt/federated-learning/logs/thr_0.42/run_10.log,0.42,5,0.6548309520441363,0.8105205303776307,0.4635489685559783,0.35875377819111837,0.9355060397007903,0.1894794696223693,0.46535148242176705,254.31646168401133,0.8240355480629982,0.13932907600126143,46290.0,82740.0,353930.0,24400.0
run_8,/Users/ginasixt/federated-learning/logs/thr_0.42/run_8.log,0.42,18,0.6309237515914556,0.8258639247028648,0.46621021272147606,0.3696949602122016,0.9325351675630947,0.17413607529713512,0.4567876762943204,237.77988016398612,0.8261749972397971,0.13932907600126143,44600.0,76040.0,360630.0,26090.0
run_9,/Users/ginasixt/federated-learning/logs/thr_0.42/run_9.log,0.42,20,0.5831093506860943,0.8489477179563515,0.4634845673806713,0.38458667661877216,0.9263581388375232,0.1510522820436485,0.43205706864244586,211.25039419741407,0.825436224058957,0.13932907600126143,41220.0,65960.0,370710.0,29470.0
run_2,/Users/ginasixt/federated-learning/logs/thr_0.42/run_2.log,0.42,17,0.5973970858678738,0.8425355531637163,0.46488331131660054,0.38048472835390573,0.928198400484396,0.1574644468362837,0.4399326390315901,218.75985493535163,0.8246759465484004,0.13932907600126143,42230.0,68760.0,367910.0,28460.0
run_3,/Users/ginasixt/federated-learning/logs/thr_0.42/run_3.log,0.42,2,0.648465129438393,0.8096503080129159,0.45920360631104434,0.3554590570719603,0.9343287526427061,0.19034969198708407,0.4581154374513088,254.1784925890886,0.8208217392692155,0.13932907600126143,45840.0,83120.0,353550.0,24850.0
run_1,/Users/ginasixt/federated-learning/logs/thr_0.42/run_1.log,0.42,4,0.5802800961946527,0.8447111090755033,0.4569964349376114,0.3769181291923183,0.9255514014001456,0.15528889092449677,0.4249912052701559,214.50252286345,0.8221506828727762,0.13932907600126143,41020.0,67810.0,368860.0,29670.0
run_4,/Users/ginasixt/federated-learning/logs/thr_0.42/run_4.log,0.42,5,0.5910312632621304,0.8394897748872145,0.4577125328659071,0.3734692053276124,0.9269008065943513,0.1605102251127854,0.43052103814934495,220.49432355723746,0.8215978712825789,0.13932907600126143,41780.0,70090.0,366580.0,28910.0
run_5,/Users/ginasixt/federated-learning/logs/thr_0.42/run_5.log,0.42,13,0.5876361578724006,0.8477110861749146,0.46483522631902874,0.3844872269529804,0.9270009015326054,0.1522889138250853,0.4353472440473154,212.9454430778934,0.8261017341460148,0.13932907600126143,41540.0,66500.0,370170.0,29150.0
run_7,/Users/ginasixt/federated-learning/logs/thr_0.42/run_7.log,0.42,1,0.7805913141887113,0.7095289348936268,0.4367061058129872,0.30315349961542687,0.9523267965820372,0.2904710651063732,0.490120249082338,358.75906654052346,0.8201503363867744,0.13932907600126143,55180.0,126840.0,309830.0,15510.0
run_6,/Users/ginasixt/federated-learning/logs/thr_0.42/run_6.log,0.42,19,0.7982741547602207,0.7019488400851902,0.43868309558051855,0.3024439918533605,0.9555458569736268,0.2980511599148098,0.5002229948454109,367.74676758120467,0.8257773987699957,0.13932907600126143,56430.0,130150.0,306520.0,14260.0
run_10,/Users/ginasixt/federated-learning/logs/thr_0.35/run_10.log,0.35,13,0.6903380959117272,0.7896351936244761,0.46179323397208427,0.34693587373809187,0.9403054267793837,0.21036480637552385,0.4799732895362032,277.23904131188897,0.8256421252623448,0.13932907600126143,48800.0,91860.0,344810.0,21890.0
run_8,/Users/ginasixt/federated-learning/logs/thr_0.35/run_8.log,0.35,8,0.6947234403734616,0.7858336959259853,0.46043502718919926,0.3443174647689827,0.9408329449181586,0.2141663040740147,0.48055713629944696,281.1218858404289,0.8253228468701594,0.13932907600126143,49110.0,93520.0,343150.0,21580.0
run_9,/Users/ginasixt/federated-learning/logs/thr_0.35/run_9.log,0.35,15,0.7092941010043854,0.7753681269608629,0.45806687374383337,0.33825811239290293,0.9427783810876285,0.2246318730391371,0.48466222796524816,292.1594134342479,0.8256660625163779,0.13932907600126143,50140.0,98090.0,338580.0,20550.0
run_2,/Users/ginasixt/federated-learning/logs/thr_0.35/run_2.log,0.35,20,0.6787381524968171,0.7951771360523965,0.4611023016673874,0.3491485955464998,0.9386116667567713,0.20482286394760346,0.4739152885492137,270.85304320403657,0.8252084054794472,0.13932907600126143,47980.0,89440.0,347230.0,22710.0
run_3,/Users/ginasixt/federated-learning/logs/thr_0.35/run_3.log,0.35,3,0.6950063658226058,0.7803375546751552,0.4554556410494114,0.3387107893829714,0.9404929480279319,0.21966244532484486,0.475343920497761,285.89167455061494,0.8224991207213904,0.13932907600126143,49130.0,95920.0,340750.0,21560.0
run_1,/Users/ginasixt/federated-learning/logs/thr_0.35/run_1.log,0.35,10,0.6826991087848352,0.7935511942656926,0.4615973218555715,0.3486742287406979,0.9392058544518227,0.20644880573430738,0.47625030305052785,272.80432040365815,0.8254113392278761,0.13932907600126143,48260.0,90150.0,346520.0,22430.0
run_4,/Users/ginasixt/federated-learning/logs/thr_0.35/run_4.log,0.35,2,0.7115575045975385,0.7705132021892962,0.45479204339963836,0.33419706331805193,0.9428611461398346,0.22948679781070375,0.4820707067868346,296.65326395458845,0.8218017882434315,0.13932907600126143,50300.0,100210.0,336460.0,20390.0
run_5,/Users/ginasixt/federated-learning/logs/thr_0.35/run_5.log,0.35,13,0.6589333710567266,0.8082075709345731,0.46343647398268834,0.3574004450241694,0.93605283399199,0.19179242906542698,0.46714094199129974,256.8787448754336,0.8256636636076471,0.13932907600126143,46580.0,83750.0,352920.0,24110.0
